,GTIN,Brand,Manufacturer,a,Primary Description,Regulated Product Name,No. & size (unit),Version,a,Retail,Listing,,My Rise,Overall,,Brandbank (Group),,Category,Sub-Cat.,Prod. Group,,Further Description,a,Features,Serve,a,Variental,ABV (%),Lower Age Limit,"Allergy, additive, and lifestyle advice",Safety Warnings,Packaging,Measurements (W/H/D),Ingredients,a,Portion Type,Energy in kcal,Energy in kJ,Protein,Carbs,Total Sugar,Fat,Sat Fat,Fibre,Sodium,Salt,Salt Equiv.,
,5000143551044,Amber Leaf,Japan Tobacco International,a,Amber Leaf Blonde 50g,,50g,07/11/2014,a,17.8,19.79,,11%,21%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,"This hand rolling is produced to the highest standards of quality.

Look closely. You'll see Amber Leaf Blonde has a distinctive paler colour than the tobacco you might be used to.

Feel the difference - The leaf has been cut into long strands for easier rolling.

Finally, leave it to your taste - The leaf has been carefully selected from the pick of the world's premium tobacco harvests.

Amber Leaf Blonde, unmistakably smooth tasting, easy-rolling and mellow.",a,"Quality from seed to pouch

A smooth blend with a cigarette like taste

Includes 100 medium weight papers with cut corners for easy rolling

From UK's number 1 tobacco brand

The pouch uses premium materials and additional layers to lock in the moisture and freshness that you expect", ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,73 x 154 x 24,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000143555233,Amber Leaf,Japan Tobacco International,a,Amber Leaf Rolling Tobacco 12.5g,Finest Virginia Hand Rolling Tobacco,12.5g,16/02/2016,a,4.75,5.19,,9%,19%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,,a,, ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,88 x 59 x 24,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000143555264,Amber Leaf,Japan Tobacco International,a,Amber Leaf Rolling Tobacco 25g,,25g,07/11/2014,a,8.99,9.99,,11%,21%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,"The Tasting Moment
Our tobacco experts select premium tobacco leaves from around the world, harvest them at their peak ripeness, and then carefully blend them together to create the unique Amber Leaf taste.",a,"Quality from seed to pouch

Includes 50 medium weight papers with cut corners for easy rolling

The pouch uses premium materials and additional layers to lock in the moisture and freshness that you expect

Finest Virginia Hand Rolling Tobacco", ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,74 x 148 x 20,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5035766061199,Amstel Bier,Heineken UK Ltd,a,Amstel Bier Premium Lager 4 x 440ml,Premium lager.,4 x 440ml,03/05/2016,a,4.5,4.99,,11%,21%,,Beer & Cider,,Alcohol,Beer & Cider,Premium Lager,,A perfect balance of taste and refreshment at 4.1% ABVA perfect balance of taste and refreshment at 4.1% ABV.,a,"Continental quality

Brewed according to the Amstel tradition",Serve Cold Serve Cold,a,,4.1%,Statutory 18 Years, Contains: Barley   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Can - Metal - Widely Recycled - ,152 x 133 x 133,"Water, Malted Barley, Sugar, Hops, Carbon Dioxide",a,per 100 (ml/g),128,31, -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5035766061175,Amstel Bier,Heineken UK Ltd,a,Amstel Bier Premium Lager 650ml,Premium Lager,650ml,18/03/2016,a,2,2.19,,10%,20%,,Beer & Cider,,Alcohol,Beer & Cider,Premium Lager,,A perfect balance of taste and refreshment at 4.1% ABVA perfect balance of taste and refreshment at 4.1% ABV.,a,"Continental quality

Brewed according to the Amstel tradition",Serve Cold Serve Cold,a,,4.1%,Statutory 18 Years, Contains: Barley   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Glass - Widely Recycled - ,281 x 75 x 75,"Water, Malted Barley, Sugar, Hops, Carbon Dioxide",a,per 100 (ml/g),128,31, -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,8004747005535,Antica,Hi-Spirits,a,Antica Sambuca Classic Liqueur 70cl,,70cl,16/09/2014,a,14,14.99,,7%,17%,,Sprits & Liqueurs,,Alcohol,Spirits,Speciality,,,a,,"Take a measure of Antica Classic Sambuca, serve over ice and charge with Red Bull. Add a squeeze of lime to make a Raging Bull. ",a,,38%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,309 x 74 x 76,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5024576189100,Appleton Estate,JWN (UK),a,Appleton Estate Signature Blend Jamaica Rum 70cl,Rum,70cl,08/03/2016,a,21,21.99,,5%,15%,,Sprits & Liqueurs,,Alcohol,Spirits,Cognac & Rum,,"For those who are looking for a rum that is delicious and alive, vivid and deep with a flavour that is complex and aromatic then Appleton Estate Signature Blend is the perfect rum. This mature blend of premium aged rum is produced on the Appleton Estate in Jamaica, home to award winning rums since 1749. Appleton Estate Signature Blend is born in copper pot stills, aged in oak casks for an average of four years and meticulously hand blended. 

The full rich flavour of Appleton Estate Signature Blend is a delicious blend of the best 15 aged golden rums. This blend has a warm honey colour and a lush fruity, bold, rich taste with notes of orange peel. It is a perfect every day rum, enjoy with ginger beer for a Jamaican Mule. Appleton Estate Signature Blend also makes delicious rum cocktails. 100% Jamaican from cane to cup.

Recommended Serve: 
Jamaican Mule
Highball glass, cubed ice 
1. 50ml Appleton Estate Signature Blend
2. Top ginger beer
3. Garnish squeeze of fresh lime

www.youtube.com/AppletonEstateRumUK
www.facebook.com/appletonestate.uk
www.twitter.com/appletonrumuk 
www.instagram.com/appletonrumuk",a,Crafted in the heart of Jamaica, ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Glass - Widely Recycled - ,232 x 111 x 84,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010103915403,Archers,Archersﾮ Schnapps Company,a,Archers Schnapps 70cl,Schnapps,70cl,30/01/2015,a,12,12.99,,8%,18%,,Sprits & Liqueurs,,Alcohol,Spirits,Speciality,,"Uniquely blended with the flavour of rich peach, for a crisp clean taste",a,,"Drink as a long cool drink, served in a tall class with plenty of ice.  Mix with cranberry, orange, tonic, champagne, lemonade... or try as a cocktail To enjoy the delicious taste of Archersﾮ Peach Schnapps, drink as a long cool drink, served in a tall glass with plenty of ice.

Mix with cranberry, orange, tonic, champagne, lemonade... or try as a cocktail.",a,,21%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,282 x 76 x 76,,a,per 100 (ml/g),1024,245, -   , -   ,31, -   , -   , -   , -   , -   , -   ,
,5010677012218,Bacardi,Bacardi-Martini Ltd,a,Bacardi Carta Blanca 20cl,Rum,200ml,09/03/2015,a,6.19,6.49,,5%,15%,,Sprits & Liqueurs,,Alcohol,Spirits,Cognac & Rum,,"Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.BACARDI Carta Blanca is a light tasting and aromatic white rum with delicate floral and fruity notes, ideal for mixing. 

Appearance: Clear, polished, shimmering and bright, water white

Aroma/Nose: Impressions of light vanilla, (which serves to bring up the other flavours) and fresh apricot. Crisp woody herbs (lavender, thyme), flowers, subtle fresh fruits, soft nuts (ground almonds/marzipan), light banana

Taste/Palate: Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.

Finish: Dry, crisp and very clean finish, slightly sweet.",a,," As this rum neither dominates nor disappears, it mixes well with all sodas and fresh juices, as well as your favourite cola. 
Alternatively learn how to make the original BACARDI Mojito at www.bacardi.com",a,,37.5%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010677013352,Bacardi,Bacardi-Martini Ltd,a,Bacardi Carta Blanca 35cl,Rum,350ml,13/03/2015,a,9,9.49,,5%,15%,,Sprits & Liqueurs,,Alcohol,Spirits,Cognac & Rum,,"Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.BACARDI Carta Blanca is a light tasting and aromatic white rum with delicate floral and fruity notes, ideal for mixing. 

Appearance: Clear, polished, shimmering and bright, water white

Aroma/Nose: Impressions of light vanilla, (which serves to bring up the other flavours) and fresh apricot. Crisp woody herbs (lavender, thyme), flowers, subtle fresh fruits, soft nuts (ground almonds/marzipan), light banana

Taste/Palate: Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.

Finish: Dry, crisp and very clean finish, slightly sweet.",a,," As this rum neither dominates nor disappears, it mixes well with all sodas and fresh juices, as well as your favourite cola. 
Alternatively learn how to make the original BACARDI Mojito at www.bacardi.com",a,,37.5%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010677013376,Bacardi,Bacardi-Martini Ltd,a,Bacardi Carta Blanca 50cl,Carta Blanca,500ml,16/03/2015,a,10.99,11.49,,5%,15%,,Sprits & Liqueurs,,Alcohol,Spirits,Cognac & Rum,,"Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.BACARDI Carta Blanca is a light tasting and aromatic white rum with delicate floral and fruity notes, ideal for mixing. 

Appearance: Clear, polished, shimmering and bright, water white

Aroma/Nose: Impressions of light vanilla, (which serves to bring up the other flavours) and fresh apricot. Crisp woody herbs (lavender, thyme), flowers, subtle fresh fruits, soft nuts (ground almonds/marzipan), light banana

Taste/Palate: Mild, soft, aromatic and delicate. Candied fruit, crystallised fruit, impressions of vanilla and apricot, sweet, creamy almond/marzipan flavours (almond croissant), Sweet fruity overtones, smooth and light.

Finish: Dry, crisp and very clean finish, slightly sweet.",a,," As this rum neither dominates nor disappears, it mixes well with all sodas and fresh juices, as well as your favourite cola. 
Alternatively learn how to make the original BACARDI Mojito at www.bacardi.com",a,,37.5%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010677013147,Bacardi,Bacardi-Martini Ltd,a,Bacard� Carta Blanca Superior White Rum 70cl,Carta Blanca Superior White Rum,700ml,16/06/2015,a,14,14.99,,7%,17%,,Sprits & Liqueurs,,Alcohol,Spirits,Cognac & Rum,,"Bacard� Carta Blanca is a light tasting and aromatic white rum with delicate floral and fruity notesBacard� Carta Blanca is a light tasting and aromatic white rum with delicate floral and fruity notes, ideal for mixing. As this rum neither dominates nor disappears, it mixes well with all sodas and fresh juices, as well as your favourite cola.

Bacard� Carta Blanca has been blended by Maestros de Ron Bacard�. This rum has light vanilla notes, developed in oak barrels, and is perfect for mixing.",a,"Perfect for mixing

Rum imported from Puerto Rico","Ideal for mixing. As this rum neither dominates nor disappears, it mixes well with all sodas and fresh juices, as well as your favourite cola ",a,,37.5%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,308 x 74 x 74,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010548002171,Badger,,a,Badger Fursty Ferret 500ml,,500ml,13/08/2014,a,1.8,1.98,,10%,20%,,Beer & Cider,,Alcohol,Beer & Cider,Ale & Stout,,"The sweet nutty palate, hoppy aroma and hint of Seville oranges give this tawny ale its distinctive personalityAs the story goes, at one Dorset inn, inquisitive ferrets used to sneak a sample of their local brew. The sweet nutty palate, hoppy aroma and hint of Seville oranges give this tawny ale its distinctive personality. Perfect with a creamy Cheddar or indulgent pork pies.

See - Tawny, light golden brown
Smell - Delicate spicy hop, orange, malty
Taste - Malty, sweet/bitter balance",a,Moreish & malty beer,Perfect with a creamy cheddar or indulgent pork pies ,a,,4.4%,Statutory 18 Years," Contains: Barley, Sulphur Dioxide/Sulphites Contains malted barley  ",Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,237 x 71 x 71,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5011013100156,Baileys,Diageo Great Britain Ltd.,a,Baileys The Original Irish Cream 70cl,Original Irish Cream,70cl,27/04/2016,a,13,13.99,,8%,18%,,Sprits & Liqueurs,,Alcohol,Spirits,Speciality,,"Baileys is a delicious blend of quality whiskey and smooth Irish cream. One of the world's best-loved liqueurs, it won gold in the prestigious San Francisco World Spirits Competition 2012.The great taste of Baileys is consistently delivered by combining the finest ingredients in a unique and patented recipe
The whiskey in Baileys complements the richness of the fresh dairy cream, cocoa and heavenly vanilla that results in a luxurious, velvety smooth taste sensation.
Best served over ice or delicious with coffee or in desserts. Baileys is the only cream liqueur that guarantees it's taste for 2 years",a,Baileys is the world's No.1 liqueur that blends the finest aged Irish whiskey with fresh dairy cream and a hint of cocoa and vanilla,Avoid citrus or acidic drinks as mixers. Enjoy chilled from the fridge. Avoid citrus or acidic drinks as mixers. Enjoy chilled from the fridge.,a,,17%,Statutory 18 Years, Contains: Milk   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Packing - Recyclable - Please Recycle,284 x 86 x 86,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,85000023983,Barefoot,E. & J. Gallo Winery Europe,a,Barefoot Merlot 187ml,Merlot - Red Californian Wine,187ml,03/09/2015,a,1.75,1.99,,14%,24%,,Red Wine,,Alcohol,Wine,Small formats,,"The perfect combo of cherry, boysenberry, plum and chocolate flavours. Raised right, it's well rounded with mild tannins.",a,"Wine of California, U.S.A.", ,a,Merlot,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,187 x 51 x 51,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,18341751109,Barefoot,Barefoot Cellars Europe,a,Barefoot Merlot 750ml,Merlot - Red Californian Wine,750ml,04/04/2016,a,6.5,6.98,,7%,17%,,Red Wine,,Alcohol,Wine,Red,,"The perfect combo of cherry, boysenberry, plum and chocolate flavours. Raised right, it's well rounded with mild tannins.Barefoot Merlot is packed with the tempting flavours of blackberry, raspberry and chocolate and is silky smooth. Great served with beef, poultry, pasta with tomato sauces, cheese and dessert.",a,"Wine of California, U.S.A.

2014 Denver International Wine Competition U.S.A. - E.U. - gold medal

Consistent quality, proven value", ,a,Merlot,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,302 x 74 x 74,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,85000016688,Barefoot,Barefoot Cellars Europe,a,Barefoot Moscato 750ml,,750ml,20/06/2011,a,6.5,6.98,,7%,17%,,White Wine,,Alcohol,Wine,White,,"Barefoot Moscato is a sweet wine with hints of delicious mouth-watering juicy peach and apricot flavours. Notes of lemon and orange citrus complement a crisp and refreshing finish.Moscato - White Californian Wine.

Footnotes
Barefoot Moscato is a sweet wine with hints of delicious mouth-watering juicy peach and apricot flavours. Notes of lemon and orange citrus compliment a crisp refreshing finish. Barefoot Moscato is perfect with spicy Asian cuisine, light desserts, fresh fruits, and mild cheeses.",a,"Wine of California, U.S.A.

Deliciously sweet

Barefoot - Most Awarded Wine Brand Priced Under US $15","Perfect with spicy Asian cuisine, light desserts, fresh fruits and mild cheeses. ",a,Moscato,8.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Pack - Glass - ,302 x 74 x 74,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,85000023976,Barefoot,E. & J. Gallo Winery Europe,a,Barefoot Pink Moscato 187ml,Moscato - Ros� Californian Wine,187ml,03/09/2015,a,1.75,1.99,,14%,24%,,Champagne & Rose,,Alcohol,Wine,Luxury,,Barefoot Pink Moscato is a juicy and refreshing wine with ripe nectarine aromas and flavours. Layers of raspberry and pomegranate complement the lingering sweet citrus finish.,a,"Wine of California, U.S.A.", ,a,Muscat,9%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,187 x 51 x 51,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,85000023990,Barefoot,E. & J. Gallo Winery Europe,a,Barefoot Pinot Grigio 187ml,Pinot Grigio - White Californian Wine,187ml,03/09/2015,a,1.75,1.99,,14%,24%,,White Wine,,Alcohol,Wine,Small formats,,Tart green apple flavours get down with a white peach undertone. Floral blossoms and citrus aromas do the tango. Light-bodied with a bright finish.,a,"Wine of California, U.S.A.", ,a,Pinot Grigio ,12%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,187 x 51 x 51,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
